Designator,Mid X,Mid Y,Rotation,Layer
"C1",49.7500,-5.2000,90.0000,top
"C2",22.5000,-37.0000,90.0000,top
"C3",32.5000,-37.0000,90.0000,top
"C4",8.9000,-18.7000,-90.0000,top
"C5",23.5000,-5.0000,90.0000,top
"C6",35.5000,-19.5000,90.0000,top
"C7",30.5000,-9.0000,90.0000,top
"C8",19.5000,-37.0000,90.0000,top
"C9",35.5000,-37.0000,90.0000,top
"C10",12.9000,-5.3000,90.0000,top
"C11",47.4000,-4.9000,90.0000,top
"D1",11.0000,-31.5000,0.0000,top
"J1",11.0000,-37.9000,0.0000,top
"J3",44.0000,-37.5000,0.0000,top
"J4",3.0000,-24.0000,90.0000,top
"LED1",34.0000,-29.0000,0.0000,top
"LED2",34.0000,-32.0000,0.0000,top
"R1",35.5000,-15.5000,90.0000,top
"R2",35.5000,-25.5000,90.0000,top
"R3",5.5000,-34.0000,90.0000,top
"R4",15.2000,-31.6000,0.0000,top
"R5",25.0000,-13.0000,90.0000,top
"R6",28.0000,-13.0000,90.0000,top
"R7",30.5000,-5.0000,90.0000,top
"R8",30.0000,-29.0000,0.0000,top
"R9",30.0000,-32.0000,0.0000,top
"R10",38.5000,-29.0000,90.0000,top
"SW1",23.0000,-23.5000,0.0000,top
"SW2",31.0000,-23.5000,0.0000,top
"U1",45.5000,-15.0000,-90.0000,top
"U2",27.5000,-35.5000,0.0000,top
"U3",12.0000,-12.0000,0.0000,top
"U4",27.0000,-5.5000,0.0000,top
